Putative Microplastic Sample ID,Number,Label,Area1,Mode1,Feret1,FeretX1,FeretY1,FeretAngle1,MinFeret1,Length1,Area2,Mode2,Angle2,Feret2,FeretX2,FeretY2,FeretAngle2,MinFeret2,Length2,Area3,Mode3,Angle3,Feret3,FeretX3,FeretY3,FeretAngle3,MinFeret3,Length3,Area4,Mode4,Angle4,Feret4,FeretX4,FeretY4,FeretAngle4,MinFeret4,Length4
MCO19Nov05_01_1_B_4_A_001_001,1,MCO19Nov05_01_1_B_4_A_001,273.209,62.99,271.331,944.257,505.912,96.793,54.278,323.692,26.394,96.474,0,29.561,917.23,608.108,0,0,30.124,19.26,117.001,2.203,21.976,926.52,673.142,2.203,0.078,21.976,15.693,39.299,5.44,17.757,930.743,711.993,2.726,0.07,18.073
MCO19Nov05_01_1_B_4_A_002_002,1,MCO19Nov05_01_1_B_4_A_002,303.839,69.73,401.179,503.82,446.432,171.238,15.84,407.608,12.22,53.653,-92.726,14.98,717.719,485.933,84.289,0.055,15.435,12.22,35.366,-87.274,15.651,749.022,471.027,90,0,15.659,13.887,69.974,-92.386,18.647,810.136,494.876,87.709,0.068,18.142
MCO19Nov05_01_1_B_4_A_003_003,1,MCO19Nov05_01_1_B_4_A_003,490.83,107.158,528.967,716.83,760.463,23.199,62.388,550.683,19.031,95.561,-72.35,19.711,1011.576,688.335,108.435,0.022,20.346,16.652,95.841,-51.34,17.675,1049.866,674.978,130.914,0.026,17.53,22.202,91.955,-38.991,24.059,1087.266,634.906,141.009,0.004,23.887
MCO19Nov05_01_1_A_4_A_001_001,1,MCO19Nov05_01_1_B_4_A_001,273.209,62.99,271.331,944.257,505.912,96.793,54.278,323.692,26.394,96.474,0,29.561,917.23,608.108,0,0,30.124,19.26,117.001,2.203,21.976,926.52,673.142,2.203,0.078,21.976,15.693,39.299,5.44,17.757,930.743,711.993,2.726,0.07,18.073
MCO19Nov05_01_1_A_4_A_002_002,1,MCO19Nov05_01_1_A_4_A_002,380.21,79.376,260.621,777.798,479.046,126.28,192.048,510.242,8.881,79.771,-33.69,10.745,955.113,651.891,146.31,0.036,11.089,7.771,67.272,-41.987,10.023,934.997,680.201,138.013,0.002,10.048,7.216,46.11,-63.435,8.72,911.157,700.317,109.983,0.003,8.674
MCO19Nov05_01_2_A_4_A_001_001,1,MCO19Nov05_01_1_A_4_A_001,2975.498,84.19,1182.264,1245.999,1368.813,87.619,505.666,2664.944,23.684,91.451,-6.34,20.128,1430.22,869.743,176.82,0.063,20.445,28.67,64.137,-10.784,24.965,1423.521,899.888,169.695,0.085,24.416,27.424,43.148,-14.036,23.017,1414.589,937.849,165.964,0.015,22.951
MCO19Nov05_01_2_A_4_A_002_002,1,MCO19Nov05_01_2_A_4_A_002,509.362,33.156,643.44,863.052,175.89,93.187,88.037,683.017,8.332,78.765,-17.103,10.671,808.645,525.433,167.905,0.018,10.243,10.554,100.785,29.358,13.037,804.174,635.737,30.964,0.008,13.378,9.998,97.932,32.735,13.037,825.787,683.436,30.964,0.008,12.957
MCO19Nov05_01_2_A_4_A_003_003,1,MCO19Nov05_01_2_A_4_A_003,222.742,85.49,275.775,734.861,798.957,89.381,51.414,298.315,12.22,75.892,-14.036,15.365,681.2,606.67,165.964,0.01,15.365,17.219,95.666,5.711,22.47,675.983,642.445,5.711,0.083,22.285,12.22,42.558,11.31,15.201,683.436,669.275,11.31,0.05,15.349
MCO19Nov05_01_2_B_4_A_001_001,1,MCO19Nov05_01_2_A_4_A_001,660.776,61.16,879.019,349.63,660.496,8.879,47.763,886.129,11.115,74.26,-90,14.164,821.52,549.419,90,0,14.04,11.115,37.06,-90,14.184,855.066,561.347,86.987,0.003,14.426,12.782,62.442,-90,16.401,883.394,547.183,90,0,16.401
MCO19Nov05_01_2_B_4_A_002_002,1,MCO19Nov05_01_2_B_4_A_002,254.769,20.008,341.847,823.99,375.489,99.154,2.139,341.873,14.431,24.886,4.399,18.685,849.32,586.329,4.574,0.024,18.915,13.876,19.551,2.386,17.88,856.77,631.775,0,0,17.882,11.101,14.15,9.462,14.331,864.966,665.301,8.973,0.007,14.085
MCO19Nov05_01_3_A_4_A_001_001,1,MCO19Nov05_01_2_B_4_A_001,780.19,71.53,674.933,565.25,164.057,119.596,354.708,1046.28,27.248,65.683,-42.436,35.872,943.326,679.344,136.685,0.116,35.617,22.243,97.069,-46.042,29.548,982.849,637.584,132.955,0.023,29.276,15.57,115.508,-8.746,20.477,1016.406,615.213,169.509,0.003,20.044
MCO19Nov05_01_3_B_4_A_001_001,1,MCO19Nov05_01_3_B_4_A_001,640.532,44.76,323.462,648.729,675.573,39.856,228.947,858.689,10.008,38.861,57.265,12.41,845.585,433.978,57.265,0.051,12.547,10.008,41.743,-61.928,13.044,683.03,430.249,120.964,0.008,12.703,11.12,90.952,-32.005,13.689,880.631,534.642,150.642,0.034,13.812
MCO19Dec05_02_1_A_4_A_001_001,1,MCO19Nov05_01_3_A_4_A_001,1617.823,72.902,1333.593,958.611,279.016,109.473,136.262,1396.927,25.467,56.526,33.69,19.919,1215.63,633.285,35.538,0.013,20.457,20.106,46.234,8.746,16.373,1239.942,693.488,8.13,0.037,15.991,18.765,72.661,22.62,15.533,1259.624,766.425,26.565,0.018,15.364
MCO19Dec05_02_1_A_4_A_002_002,1,MCO19Dec05_02_1_A_4_A_002,408.98,72.106,546.642,459.069,582.981,168.26,10.782,547.59,13.373,38.921,-105.255,17.022,723.314,645.683,74.745,0.073,17.089,12.815,66.879,-97.765,16.691,774.82,656.133,79.695,0.057,16.403,12.815,89.18,-98.13,16.574,830.057,661.359,82.235,0.068,16.081
